delivery_date,hour_ending,HHI,Pivotal
10/20/2020,14,987.6930195,0
10/20/2020,15,1009.226373,0
10/20/2020,16,1006.693645,0
10/20/2020,17,1004.960189,0
10/20/2020,18,1003.427879,0
10/20/2020,19,917.4080204,0
10/20/2020,20,981.0422542,0
10/20/2020,21,984.7683935,0
10/20/2020,22,980.5010474,0
10/20/2020,23,979.3188047,0
10/20/2020,24,974.8643256,0
10/21/2020,1,929.6241717,0
10/21/2020,2,931.2565237,0
10/21/2020,3,933.9338009,0
10/21/2020,4,932.449792,0
10/21/2020,5,933.2779829,0
10/21/2020,6,936.8100802,0
10/21/2020,7,894.6952135,0
10/21/2020,8,895.2509967,0
10/21/2020,9,951.0174919,0
10/21/2020,10,1026.263621,0
10/21/2020,11,1024.777717,0
10/21/2020,12,1022.214016,0
10/21/2020,13,1019.67436,0
10/21/2020,14,1036.220842,0
10/21/2020,15,1057.797164,0
10/21/2020,16,1038.88136,0
10/21/2020,17,1037.99691,0
10/21/2020,18,1036.453314,0
10/21/2020,19,989.3830257,0
10/21/2020,20,991.4878936,0
10/21/2020,21,992.4025965,0
10/21/2020,22,987.508867,0
10/21/2020,23,984.6300498,0
10/21/2020,24,985.6736701,0
10/22/2020,1,880.8129172,0
10/22/2020,2,882.3359205,0
10/22/2020,3,884.571114,0
10/22/2020,4,883.3763277,0
10/22/2020,5,884.5020689,0
10/22/2020,6,902.1285102,0
10/22/2020,7,887.1362019,0
10/22/2020,8,886.9022036,0
10/22/2020,9,934.6015777,0
10/22/2020,10,934.3217133,0
10/22/2020,11,933.1702069,0
10/22/2020,12,912.6371574,0
10/22/2020,13,912.7879453,0
10/22/2020,14,926.5180752,0
10/22/2020,15,910.2519622,0
10/22/2020,16,909.0298276,0
10/22/2020,17,910.9078907,0
10/22/2020,18,892.6223247,0
10/22/2020,19,860.2935137,0
10/22/2020,20,888.6544345,0
10/22/2020,21,889.8291386,0
10/22/2020,22,913.0064247,0
10/22/2020,23,908.2474468,0
10/22/2020,24,885.246196,0
10/23/2020,1,933.5553288,0
10/23/2020,2,892.2649561,0
10/23/2020,3,894.0601434,0
10/23/2020,4,894.6690906,0
10/23/2020,5,896.9157236,0
10/23/2020,6,899.4735038,0
10/23/2020,7,890.6998803,0
10/23/2020,8,888.148258,0
10/23/2020,9,947.3208514,0
10/23/2020,10,951.6596536,0
10/23/2020,11,959.2487099,0
10/23/2020,12,959.9707514,0
10/23/2020,13,969.4251346,0
10/23/2020,14,1007.121617,0
10/23/2020,15,1035.169181,0
10/23/2020,16,1044.846179,0
10/23/2020,17,1045.979343,0
10/23/2020,18,1045.972936,0
10/23/2020,19,917.4158552,0
10/23/2020,20,912.8939132,0
10/23/2020,21,995.9814038,0
10/23/2020,22,989.1524623,0
10/23/2020,23,984.8641726,0
10/23/2020,24,917.7236095,0
10/24/2020,1,956.9054804,0
